"Month","Division","Line","Day Type","Reporting Category","Incidents"
"2020-01-01","B DIVISION","S Fkln","2","Operating Conditions","0"
"2020-01-01","B DIVISION","S Fkln","2","Planned ROW Work","0"
"2020-01-01","B DIVISION","S Fkln","2","Police & Medical","0"
"2020-01-01","B DIVISION","S Rock","1",,"0"
"2020-01-01","B DIVISION","S Rock","1","Crew Availability","0"
"2020-01-01","B DIVISION","S Rock","1","External Factors","22"
"2020-01-01","B DIVISION","S Rock","1","Infrastructure & Equipment","5"
"2020-01-01","B DIVISION","S Rock","1","Operating Conditions","4"
"2020-01-01","B DIVISION","S Rock","1","Planned ROW Work","2"
"2020-01-01","B DIVISION","S Rock","1","Police & Medical","2"
"2020-01-01","B DIVISION","S Rock","2",,"0"
"2020-01-01","B DIVISION","S Rock","2","Crew Availability","0"
"2020-01-01","B DIVISION","S Rock","2","External Factors","4"
"2020-01-01","B DIVISION","S Rock","2","Infrastructure & Equipment","2"
"2020-01-01","B DIVISION","S Rock","2","Operating Conditions","1"
"2020-01-01","B DIVISION","S Rock","2","Planned ROW Work","1"
"2020-01-01","B DIVISION","S Rock","2","Police & Medical","1"
"2020-02-01","A DIVISION","1","1",,"0"
"2020-02-01","A DIVISION","1","1","Crew Availability","6"
"2020-02-01","A DIVISION","1","1","External Factors","3"
"2020-02-01","A DIVISION","1","1","Infrastructure & Equipment","45"
"2020-02-01","A DIVISION","1","1","Operating Conditions","90"
"2020-02-01","A DIVISION","1","1","Planned ROW Work","26"
"2020-02-01","A DIVISION","1","1","Police & Medical","76"
"2020-02-01","A DIVISION","1","2",,"0"
"2020-02-01","A DIVISION","1","2","Crew Availability","4"
"2020-02-01","A DIVISION","1","2","External Factors","0"
"2020-02-01","A DIVISION","1","2","Infrastructure & Equipment","11"
"2020-02-01","A DIVISION","1","2","Operating Conditions","25"
"2020-02-01","A DIVISION","1","2","Planned ROW Work","15"
"2020-02-01","A DIVISION","1","2","Police & Medical","32"
"2020-02-01","A DIVISION","2","1",,"0"
"2020-02-01","A DIVISION","2","1","Crew Availability","9"
"2020-02-01","A DIVISION","2","1","External Factors","3"
"2020-02-01","A DIVISION","2","1","Infrastructure & Equipment","45"
"2020-02-01","A DIVISION","2","1","Operating Conditions","89"
"2020-02-01","A DIVISION","2","1","Planned ROW Work","36"
"2020-02-01","A DIVISION","2","1","Police & Medical","68"
"2020-02-01","A DIVISION","2","2",,"0"
"2020-02-01","A DIVISION","2","2","Crew Availability","7"
"2020-02-01","A DIVISION","2","2","External Factors","1"
"2020-02-01","A DIVISION","2","2","Infrastructure & Equipment","18"
"2020-02-01","A DIVISION","2","2","Operating Conditions","81"
"2020-02-01","A DIVISION","2","2","Planned ROW Work","24"
"2020-02-01","A DIVISION","2","2","Police & Medical","54"
"2020-02-01","A DIVISION","3","1",,"0"
"2020-02-01","A DIVISION","3","1","Crew Availability","3"
"2020-02-01","A DIVISION","3","1","External Factors","0"
"2020-02-01","A DIVISION","3","1","Infrastructure & Equipment","18"
"2020-02-01","A DIVISION","3","1","Operating Conditions","39"
"2020-02-01","A DIVISION","3","1","Planned ROW Work","15"
"2020-02-01","A DIVISION","3","1","Police & Medical","36"
"2020-02-01","A DIVISION","3","2",,"0"
"2020-02-01","A DIVISION","3","2","Crew Availability","2"
"2020-02-01","A DIVISION","3","2","External Factors","0"
"2020-02-01","A DIVISION","3","2","Infrastructure & Equipment","14"
"2020-02-01","A DIVISION","3","2","Operating Conditions","47"
"2020-02-01","A DIVISION","3","2","Planned ROW Work","17"
"2020-02-01","A DIVISION","3","2","Police & Medical","20"
"2020-02-01","A DIVISION","4","1",,"0"
"2020-02-01","A DIVISION","4","1","Crew Availability","5"
"2020-02-01","A DIVISION","4","1","External Factors","2"
"2020-02-01","A DIVISION","4","1","Infrastructure & Equipment","48"
"2020-02-01","A DIVISION","4","1","Operating Conditions","58"
"2020-02-01","A DIVISION","4","1","Planned ROW Work","60"
"2020-02-01","A DIVISION","4","1","Police & Medical","73"
"2020-02-01","A DIVISION","4","2",,"0"
"2020-02-01","A DIVISION","4","2","Crew Availability","8"
"2020-02-01","A DIVISION","4","2","External Factors","3"
"2020-02-01","A DIVISION","4","2","Infrastructure & Equipment","17"
"2020-02-01","A DIVISION","4","2","Operating Conditions","49"
"2020-02-01","A DIVISION","4","2","Planned ROW Work","29"
"2020-02-01","A DIVISION","4","2","Police & Medical","46"
"2020-02-01","A DIVISION","5","1",,"0"
"2020-02-01","A DIVISION","5","1","Crew Availability","4"
"2020-02-01","A DIVISION","5","1","External Factors","2"
"2020-02-01","A DIVISION","5","1","Infrastructure & Equipment","20"
"2020-02-01","A DIVISION","5","1","Operating Conditions","37"
"2020-02-01","A DIVISION","5","1","Planned ROW Work","8"
"2020-02-01","A DIVISION","5","1","Police & Medical","43"
"2020-02-01","A DIVISION","5","2",,"0"
"2020-02-01","A DIVISION","5","2","Crew Availability","1"
"2020-02-01","A DIVISION","5","2","External Factors","0"
"2020-02-01","A DIVISION","5","2","Infrastructure & Equipment","8"
"2020-02-01","A DIVISION","5","2","Operating Conditions","17"
"2020-02-01","A DIVISION","5","2","Planned ROW Work","10"
"2020-02-01","A DIVISION","5","2","Police & Medical","5"
"2020-02-01","A DIVISION","6","1",,"0"
"2020-02-01","A DIVISION","6","1","Crew Availability","4"
"2020-02-01","A DIVISION","6","1","External Factors","1"
"2020-02-01","A DIVISION","6","1","Infrastructure & Equipment","50"
"2020-02-01","A DIVISION","6","1","Operating Conditions","144"
"2020-02-01","A DIVISION","6","1","Planned ROW Work","36"
"2020-02-01","A DIVISION","6","1","Police & Medical","123"
"2020-02-01","A DIVISION","6","2",,"0"
"2020-02-01","A DIVISION","6","2","Crew Availability","5"
"2020-02-01","A DIVISION","6","2","External Factors","0"
"2020-02-01","A DIVISION","6","2","Infrastructure & Equipment","12"
"2020-02-01","A DIVISION","6","2","Operating Conditions","23"
"2020-02-01","A DIVISION","6","2","Planned ROW Work","19"
"2020-02-01","A DIVISION","6","2","Police & Medical","49"
"2020-02-01","A DIVISION","7","1",,"0"
"2020-02-01","A DIVISION","7","1","Crew Availability","4"
"2020-02-01","A DIVISION","7","1","External Factors","3"
"2020-02-01","A DIVISION","7","1","Infrastructure & Equipment","62"
"2020-02-01","A DIVISION","7","1","Operating Conditions","24"
"2020-02-01","A DIVISION","7","1","Planned ROW Work","20"
