"month","division","line","day_type","period","num_timepoints_passing_wait _assessment","num_sched_timepoints","wait assessment"
"2015-01-01","B DIVISION","G","1","offpeak","4,489","5,310","84.5386064%"
"2015-01-01","B DIVISION","G","2","offpeak","1,467","1,575","93.1428571%"
"2015-01-01","B DIVISION","G","1","peak","2,706","3,311","81.7275748%"
"2015-01-01","B DIVISION","G","2","peak","755","818","92.2982885%"
"2015-01-01","B DIVISION","JZ","1","offpeak","8,660","10,358","83.6068739%"
"2015-01-01","B DIVISION","JZ","2","offpeak","3,357","3,546","94.6700508%"
"2015-01-01","B DIVISION","JZ","1","peak","5,783","7,630","75.7929227%"
"2015-01-01","B DIVISION","JZ","2","peak","1,838","1,963","93.6321956%"
"2015-01-01","B DIVISION","L","1","offpeak","17,474","21,494","81.2971062%"
"2015-01-01","B DIVISION","L","2","offpeak","6,436","8,406","76.5643588%"
"2015-01-01","B DIVISION","L","1","peak","10,447","13,734","76.0666958%"
"2015-01-01","B DIVISION","L","2","peak","3,251","4,170","77.9616307%"
"2015-01-01","B DIVISION","M","1","offpeak","9,901","12,465","79.4304051%"
"2015-01-01","B DIVISION","M","2","offpeak","1,260","1,298","97.0724191%"
"2015-01-01","B DIVISION","M","1","peak","5,803","8,153","71.1762541%"
"2015-01-01","B DIVISION","M","2","peak","743","773","96.1190168%"
"2015-01-01","B DIVISION","N","1","offpeak","13,021","16,595","78.4633926%"
"2015-01-01","B DIVISION","N","2","offpeak","4,880","6,016","81.1170213%"
"2015-01-01","B DIVISION","N","1","peak","6,986","9,594","72.8163435%"
"2015-01-01","B DIVISION","N","2","peak","2,574","3,101","83.0054821%"
"2015-01-01","B DIVISION","Q","1","offpeak","9,655","12,118","79.6748638%"
"2015-01-01","B DIVISION","Q","2","offpeak","3,191","3,667","87.0193619%"
"2015-01-01","B DIVISION","Q","1","peak","5,852","7,830","74.7381865%"
"2015-01-01","B DIVISION","Q","2","peak","1,595","1,873","85.1575013%"
