"month","division","line","day_type","num_on_time_trips","num_sched_trips","terminal_on_time_performance"
"2016-09-01","B DIVISION","S Fkln","1","2,461","2,478","99.3139629%"
"2016-09-01","B DIVISION","S Rock","1","1,633","1,761","92.7314026%"
"2016-10-01","A DIVISION","1","1","6,227","9,603","64.8443195%"
"2016-10-01","A DIVISION","2","1","2,587","7,150","36.1818182%"
"2016-10-01","A DIVISION","3","1","3,230","6,006","53.7795538%"
"2016-10-01","A DIVISION","4","1","2,844","7,797","36.4755675%"
"2016-10-01","A DIVISION","5","1","2,561","6,904","37.094438%"
"2016-10-01","A DIVISION","6","1","6,042","12,257","49.2942808%"
"2016-10-01","A DIVISION","7","1","10,283","13,037","78.8755082%"
"2016-10-01","A DIVISION","S 42nd","1","13,538","13,630","99.3250183%"
"2016-10-01","B DIVISION","A","1","4,598","7,749","59.3366886%"
"2016-10-01","B DIVISION","B","1","2,488","4,326","57.5127138%"
"2016-10-01","B DIVISION","C","1","2,621","4,170","62.853717%"
"2016-10-01","B DIVISION","D","1","3,460","5,513","62.7607473%"
"2016-10-01","B DIVISION","E","1","5,291","8,375","63.1761194%"
"2016-10-01","B DIVISION","F","1","4,411","7,987","55.2272443%"
"2016-10-01","B DIVISION","G","1","4,464","5,880","75.9183673%"
"2016-10-01","B DIVISION","JZ","1","3,885","5,859","66.3082437%"
"2016-10-01","B DIVISION","L","1","9,491","10,605","89.495521%"
"2016-10-01","B DIVISION","M","1","3,621","5,670","63.8624339%"
"2016-10-01","B DIVISION","N","1","3,368","5,623","59.8968522%"
"2016-10-01","B DIVISION","Q","1","3,913","5,908","66.2322275%"
"2016-10-01","B DIVISION","R","1","3,094","5,964","51.8779343%"
"2016-10-01","B DIVISION","S Fkln","1","2,469","2,478","99.6368039%"
"2016-10-01","B DIVISION","S Rock","1","1,625","1,759","92.3820352%"
"2016-11-01","A DIVISION","1","1","6,535","9,606","68.0303977%"
"2016-11-01","A DIVISION","2","1","2,401","6,793","35.3452083%"
"2016-11-01","A DIVISION","3","1","3,481","6,398","54.4076274%"
"2016-11-01","A DIVISION","4","1","2,602","7,878","33.0286875%"
"2016-11-01","A DIVISION","5","1","2,441","6,905","35.3511948%"
"2016-11-01","A DIVISION","6","1","5,172","11,816","43.7711578%"
"2016-11-01","A DIVISION","7","1","10,253","13,110","78.2074752%"
"2016-11-01","A DIVISION","S 42nd","1","12,721","12,883","98.7425289%"
"2016-11-01","B DIVISION","A","1","4,201","7,749","54.2134469%"
"2016-11-01","B DIVISION","B","1","2,252","4,326","52.0573278%"
"2016-11-01","B DIVISION","C","1","2,535","4,182","60.6169297%"
"2016-11-01","B DIVISION","D","1","3,516","5,515","63.7533998%"
"2016-11-01","B DIVISION","E","1","5,470","8,380","65.274463%"
"2016-11-01","B DIVISION","F","1","3,698","7,994","46.2596948%"
"2016-11-01","B DIVISION","G","1","4,434","5,880","75.4081633%"
"2016-11-01","B DIVISION","JZ","1","3,687","5,859","62.9288274%"
"2016-11-01","B DIVISION","L","1","9,796","10,728","91.3124534%"
"2016-11-01","B DIVISION","M","1","3,587","5,704","62.8856942%"
"2016-11-01","B DIVISION","N","1","3,244","5,743","56.4861571%"
"2016-11-01","B DIVISION","Q","1","4,179","6,300","66.3333333%"
"2016-11-01","B DIVISION","R","1","4,147","5,960","69.5805369%"
"2016-11-01","B DIVISION","S Fkln","1","2,461","2,478","99.3139629%"
"2016-11-01","B DIVISION","S Rock","1","1,615","1,760","91.7613636%"
"2016-11-01","B DIVISION","W","1","2,458","3,213","76.5017118%"
"2016-12-01","A DIVISION","1","1","6,547","9,609","68.134041%"
"2016-12-01","A DIVISION","2","1","2,153","6,758","31.858538%"
"2016-12-01","A DIVISION","3","1","3,619","6,398","56.5645514%"
"2016-12-01","A DIVISION","4","1","2,537","7,803","32.513136%"
"2016-12-01","A DIVISION","5","1","2,424","6,906","35.0999131%"
